Salary,ExperienceYears,,,,,,,
814599,0,,,,,,,
1106300,15,,,,,,,
1288999,26,,,,,,,
1057372,2,,,,,,,
1033996,17,,,,,,,
445944,7,,,,,,,
1738605,0,,,,,,,
867955,8,,,,,,,
427292,4,,,,,,,
1475512,20,,,,,,,
1129418,29,,,,,,,
528727,33,,,,,,,
801649,7,,,,,,,
814795,32,,,,,,,
468019,11,,,,,,,
1654112,20,,,,,,,
616686,2,,,,,,,
1624793,10,,,,,,,
1560583,4,,,,,,,
875377,2,,,,,,,
391576,16,,,,,,,
1096295,17,,,,,,,
1255817,20,,,,,,,
1563868,12,,,,,,,
969661,1,,,,,,,
1757852,17,,,,,,,
1480019,0,,,,,,,
894558,26,,,,,,,
1458695,10,,,,,,,
1205831,9,,,,,,,
1794066,3,,,,,,,
1664518,4,,,,,,,
1146136,2,,,,,,,
813469,9,,,,,,,
802623,11,,,,,,,
885036,0,,,,,,,
606690,25,,,,,,,
1391648,35,,,,,,,
1498458,16,,,,,,,
626024,21,,,,,,,
1527769,6,,,,,,,
1532264,8,,,,,,,
1627505,5,,,,,,,
1547197,6,,,,,,,
1097555,6,,,,,,,
1786876,11,,,,,,,
1671580,14,,,,,,,
828601,6,,,,,,,
270417,7,,,,,,,
1251930,23,,,,,,,
1029801,0,,,,,,,
1042933,20,,,,,,,
640606,11,,,,,,,
936181,8,,,,,,,
1477970,16,,,,,,,
1105324,5,,,,,,,
1245433,19,,,,,,,
960808,6,,,,,,,
1603801,1,,,,,,,
894716,0,,,,,,,
798965,1,,,,,,,
1778742,3,,,,,,,
570408,23,,,,,,,
1144064,1,,,,,,,
404131,7,,,,,,,
287899,3,,,,,,,
623104,12,,,,,,,
683062,12,,,,,,,
652800,12,,,,,,,
979650,21,,,,,,,
1204876,10,,,,,,,
711527,18,,,,,,,
1141701,24,,,,,,,
1244573,8,,,,,,,
1378792,2,,,,,,,
432177,5,,,,,,,
1720968,2,,,,,,,
445794,13,,,,,,,
994451,19,,,,,,,
1704664,7,,,,,,,
1377437,3,,,,,,,
601670,1,,,,,,,
1428080,19,,,,,,,
1268997,26,,,,,,,
422459,4,,,,,,,
1771528,5,,,,,,,
1206626,16,,,,,,,
559507,12,,,,,,,
987279,7,,,,,,,
1516328,8,,,,,,,
1767273,18,,,,,,,
577969,12,,,,,,,
914679,2,,,,,,,
1543945,34,,,,,,,
1359550,17,,,,,,,
457493,1,,,,,,,
1619148,1,,,,,,,
1072955,3,,,,,,,
1418993,3,,,,,,,
939100,17,,,,,,,
1313292,5,,,,,,,
770740,1,,,,,,,
744333,27,,,,,,,
1404570,7,,,,,,,
867684,0,,,,,,,
449417,1,,,,,,,
1393352,4,,,,,,,
843961,23,,,,,,,
743390,7,,,,,,,
479262,8,,,,,,,
1125653,0,,,,,,,
1637876,1,,,,,,,
1059330,4,,,,,,,
356137,2,,,,,,,
1345023,3,,,,,,,
1555941,4,,,,,,,
662581,15,,,,,,,
733336,9,,,,,,,
1443294,3,,,,,,,
847991,14,,,,,,,
1059187,7,,,,,,,
771218,9,,,,,,,
786044,5,,,,,,,
600246,5,,,,,,,
462081,7,,,,,,,
878777,6,,,,,,,
449427,4,,,,,,,
1052569,6,,,,,,,
579273,0,,,,,,,
589279,1,,,,,,,
1780312,34,,,,,,,
1733018,7,,,,,,,
701534,8,,,,,,,
525569,3,,,,,,,
464800,0,,,,,,,
1369756,1,,,,,,,
698654,1,,,,,,,
740171,0,,,,,,,
1370250,4,,,,,,,
1004069,2,,,,,,,
1438535,17,,,,,,,
947192,32,,,,,,,
1672600,9,,,,,,,
454040,0,,,,,,,
1531651,4,,,,,,,
827672,8,,,,,,,
1292479,5,,,,,,,
1018090,27,,,,,,,
400242,8,,,,,,,
547511,5,,,,,,,
1216689,1,,,,,,,
1348777,7,,,,,,,
1220726,3,,,,,,,
1303887,2,,,,,,,
1467030,31,,,,,,,
672470,33,,,,,,,
326461,8,,,,,,,
1707806,1,,,,,,,
838429,12,,,,,,,
1606020,27,,,,,,,
507323,10,,,,,,,
364649,23,,,,,,,
1275847,0,,,,,,,
292673,18,,,,,,,
1573820,19,,,,,,,
1549405,17,,,,,,,
880504,3,,,,,,,
949579,36,,,,,,,
684143,1,,,,,,,
355676,3,,,,,,,
642895,2,,,,,,,
284886,6,,,,,,,
842327,2,,,,,,,
1251058,14,,,,,,,
806891,9,,,,,,,
1202895,17,,,,,,,
643912,7,,,,,,,
1778779,1,,,,,,,
1443053,19,,,,,,,
1398327,14,,,,,,,
1074201,13,,,,,,,
1104557,4,,,,,,,
1739205,5,,,,,,,
1052727,6,,,,,,,
741502,13,,,,,,,
614492,12,,,,,,,
1560741,22,,,,,,,
362046,29,,,,,,,
1245347,0,,,,,,,
763007,0,,,,,,,
407896,0,,,,,,,
1653952,13,,,,,,,
1369200,4,,,,,,,
436538,4,,,,,,,
940962,6,,,,,,,
1614938,19,,,,,,,
1381711,24,,,,,,,
460947,2,,,,,,,
650331,3,,,,,,,
889481,1,,,,,,,
1349011,6,,,,,,,
1191965,25,,,,,,,
1595899,1,,,,,,,
1621811,17,,,,,,,
1459634,32,,,,,,,
1348301,0,,,,,,,
424949,5,,,,,,,
831185,2,,,,,,,
685014,20,,,,,,,
1109196,19,,,,,,,
706982,10,,,,,,,
1196096,3,,,,,,,
998892,5,,,,,,,
1685198,4,,,,,,,
699714,10,,,,,,,
961646,4,,,,,,,
648784,17,,,,,,,
409419,2,,,,,,,
999631,8,,,,,,,
303811,3,,,,,,,
1276309,7,,,,,,,
617395,16,,,,,,,
408796,23,,,,,,,
775907,1,,,,,,,
1488765,9,,,,,,,
1298527,8,,,,,,,
499094,2,,,,,,,
1730687,0,,,,,,,
922321,3,,,,,,,
1371209,2,,,,,,,
327191,2,,,,,,,
1348694,19,,,,,,,
914410,12,,,,,,,
906556,13,,,,,,,
644475,12,,,,,,,
1205674,3,,,,,,,
1164924,3,,,,,,,
276318,13,,,,,,,
672772,4,,,,,,,
1657028,8,,,,,,,
1563447,0,,,,,,,
285443,34,,,,,,,
1092955,13,,,,,,,
521971,6,,,,,,,
1146093,0,,,,,,,
1392668,0,,,,,,,
1312635,8,,,,,,,
721395,2,,,,,,,
1250246,2,,,,,,,
553045,15,,,,,,,
292551,5,,,,,,,
966088,23,,,,,,,
1431140,0,,,,,,,
346719,1,,,,,,,
1497851,3,,,,,,,
839606,2,,,,,,,
1786339,9,,,,,,,
1708019,11,,,,,,,
374401,24,,,,,,,
1619106,5,,,,,,,
656447,4,,,,,,,
1798368,0,,,,,,,
370560,20,,,,,,,
1734834,0,,,,,,,
1748924,20,,,,,,,
1261654,8,,,,,,,
1661693,29,,,,,,,
1199015,0,,,,,,,
1315355,13,,,,,,,
1416969,12,,,,,,,
264074,0,,,,,,,
991781,34,,,,,,,
1350730,13,,,,,,,
695957,31,,,,,,,
735295,8,,,,,,,
993504,4,,,,,,,
711424,7,,,,,,,
471911,20,,,,,,,
656565,14,,,,,,,
1552101,30,,,,,,,
1577661,20,,,,,,,
1207093,9,,,,,,,
1354614,26,,,,,,,
385439,4,,,,,,,
1557437,23,,,,,,,
1639053,13,,,,,,,
465650,27,,,,,,,
1191158,7,,,,,,,
1705448,23,,,,,,,
1131729,0,,,,,,,
965595,8,,,,,,,
1336818,2,,,,,,,
835323,9,,,,,,,
1637640,7,,,,,,,
546445,23,,,,,,,
1788691,15,,,,,,,
1316199,3,,,,,,,
880532,7,,,,,,,
736799,37,,,,,,,
902072,2,,,,,,,
405462,0,,,,,,,
1355565,4,,,,,,,
1726735,10,,,,,,,
1001844,29,,,,,,,
889458,2,,,,,,,
298786,1,,,,,,,
1235922,14,,,,,,,
935402,14,,,,,,,
1777155,14,,,,,,,
389049,1,,,,,,,
822422,21,,,,,,,
1056324,2,,,,,,,
804617,1,,,,,,,
455896,3,,,,,,,
891883,2,,,,,,,
623780,7,,,,,,,
567475,0,,,,,,,
872118,2,,,,,,,
1306380,7,,,,,,,
619378,17,,,,,,,
442690,3,,,,,,,
1437996,4,,,,,,,
1658102,5,,,,,,,
1410319,5,,,,,,,
1525423,6,,,,,,,
1614866,11,,,,,,,
1546169,0,,,,,,,
1638883,16,,,,,,,
943487,12,,,,,,,
1362502,12,,,,,,,
1148814,8,,,,,,,
1455050,12,,,,,,,
1015884,0,,,,,,,
264214,4,,,,,,,
719944,20,,,,,,,
698399,25,,,,,,,
397609,34,,,,,,,
1539119,1,,,,,,,
928989,1,,,,,,,
1402946,6,,,,,,,
1117197,0,,,,,,,
634205,0,,,,,,,
1165083,2,,,,,,,
